time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
10740	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10800.0	0.0	0	0.0	0	0	0.0
10800	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10860.0	0.0	0	0.0	0	0	0.0
10860	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10920.0	0.0	0	0.0	0	0	0.0
10920	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	10980.0	0.0	0	0.0	0	0	0.0
10980	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11040.0	0.0	0	0.0	0	0	0.0
11040	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11100.0	0.0	0	0.0	0	0	0.0
11100	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11160.0	0.0	0	0.0	0	0	0.0
11160	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11220.0	0.0	0	0.0	0	0	0.0
11220	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11280.0	0.0	0	0.0	0	0	0.0
11280	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11340.0	0.0	0	0.0	0	0	0.0
11340	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11400.0	0.0	0	0.0	0	0	0.0
11400	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11460.0	0.0	0	0.0	0	0	0.0
11460	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11520.0	0.0	0	0.0	0	0	0.0
11520	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11580.0	0.0	0	0.0	0	0	0.0
11580	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11640.0	0.0	0	0.0	0	0	0.0
11640	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11700.0	0.0	0	0.0	0	0	0.0
11700	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11760.0	0.0	0	0.0	0	0	0.0
11760	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11820.0	0.0	0	0.0	0	0	0.0
11820	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11880.0	0.0	0	0.0	0	0	0.0
11880	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	11940.0	0.0	0	0.0	0	0	0.0
11940	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	12000.0	0.0	0	0.0	0	0	0.0
